Name of Organization,Street Address,City,Zip Code,Phone,Secondary Phone,Website,PetFinder,Latitude,Longitude
Pets without Parents,P.O. Box 166,Easton,62633,(309) 562-7240,,http://www.petswithoutparentsrescue.com/,https://www.petfinder.com/pet-search?shelterid=IL350,40.214759,-89.87721
Metro East Humane Society,8495 State Route 143,Edwardsville,62025,(618) 656-4405,,http://www.mehs.org/,http://www.mehs.org/view-our-animals.html,38.819297,-89.9551
Effingham County Humane Society,12073 N 1000th Rd,Effingham,62401,(217) 536-9001,,http://awos.petfinder.com/shelters/effingham.html,https://www.petfinder.com/pet-search?shelterid=IL148,39.123807,-88.56
Almost Home Foundation,P.O. Box 308,Elk Grove,60007,(630) 582-3738,,www.almosthomefoundation.org,"Cats: http://almosthomefoundation.org/newsite_availablecats.html
Dogs: http://almosthomefoundation.org/newsite_availabledogs.html",42.005978,-87.99847
Lulu’s Locker Rescue,P.O. Box 321,Frankfort,60423,(708) 325-8581,,http://luluslockerrescue.org/,https://www.petfinder.com/pet-search?shelter_id=IL696,41.501178,-87.83875
Henry County Humane Society – Geneseo,14606 Roos Hill Rd,Geneseo,61254,(309) 944-4868,,http://henrycountyhumanesociety.org,https://www.petfinder.com/pet-search?animal_type=Dog&shelterid=IL33,41.464473,-90.15854
Kane County Animal Control,4060 Keslinger Road,Geneva,60134,(630) 232-3555,,http://www.kanecountypets.com/,https://www.petfinder.com/pet-search?shelter_id=IL444&preview=1,41.885728,-88.31957
Critter Camp Exotic Pet Sanctuary,824 Church Street,German Valley,61039,(815) 266-1342,,http://crittercamp.weebly.com/,https://www.petfinder.com/pet-search?shelter_id=IL412,42.213851,-89.47449
Hinsdale Humane Society,22 North Elm Street,Hinsdale,60521,(630) 323-5630,,https://www.hinsdalehumanesociety.org/,https://www.hinsdalehumanesociety.org/adopt/dogs/,41.772915,-87.92996
"Midwest Rescue of Illinois, Inc.",P.O. Box 95534,Hoffman Estates,60195-0534,(847) 219-5673,,http://midwestrescue.org/,https://www.petfinder.com/pet-search?shelter_id=IL207,42.067809,-88.10828
Joliet Township Animal Control,2807 McDonough Street,Joliet,60436,(815) 725-0333,,http://www.joliettownship.net/animalcontrol.html,https://www.petfinder.com/pet-search?shelterid=IL317,41.50798,-88.10553
Kankakee County Animal Control & Adoption Center,1270 Stanford Dr.,Kankakee,60901,(815) 933-5999,,http://www.k3humanefoundation.org/,https://www.petfinder.com/pet-search?shelterid=IL256,41.114132,-87.86784
Cat Nap From The Heart,1101 Beach Avenue,La Grange Park,60526,(708) 352-3914,,http://catnapfromtheheart.org/,https://www.petfinder.com/pet-search?shelter_id=IL252,41.829831,-87.8704
Green Pup Shelter,P.O. Box 728,Lake Zurich,60047,(847) 946-1735,,greenpupshelter.org,https://www.petfinder.com/pet-search?shelter_id=IL625,42.199957,-88.05859
SPAY ILLINOIS,2765 Maple Avenue,Lisle,60532,(877) 475-7729 ,,www.spayillinois.org,https://www.petfinder.com/pet-search?shelter_id=IL675,41.789079,-88.08536
"Pet Project, Inc.",2676 East 2575 Road,Marseilles,61341,(815) 434-6233,,http://petprojectinc.org/,https://www.petfinder.com/pet-search?shelterid=IL184,41.336202,-88.69727
Retired Greyhounds as Pets,4107 East 3rd Road,Mendota,61342,(815) 538-3647,,http://www.regapgreyhounds.com/cms/,https://www.petfinder.com/pet-search?shelter_id=IL216,41.543149,-89.10696
Quad City Animal Welfare Center,724 West 2nd Avenue,Milan,61264,(309) 787-6830,,http://www.qcawc.org/,https://www.petfinder.com/pet-search?&shelter_id=IL32&preview=1,41.426583,-90.57639
"Wright-Way Rescue/North Shore Humane Center for Adoption, Wellness and Community Education",5915 Lincoln Avenue,Morton Grove,60053,(847) 728-5434,,http://wright-wayrescue.org/,https://www.petfinder.com/pet-search?shelter_id=IL147,42.041999,-87.78882
Illinois Alaska Malamute Rescue Association,"200 East Evergreen, Suite 123",Mount Prospect,60056,(847) 735-9466,,http://www.iamra.org/,http://www.iamra.org/dogs-currently-available-for-adoption.html,42.065427,-87.93621
Animals Deserving of Proper Treatment (A.D.O.P.T.),420 Industrial Drive,Naperville,60563,(630) 355-2299,,http://www.adoptpetshelter.org/,https://www.petfinder.com/pet-search?shelterid=IL171,41.794885,-88.16188
Naperville Area Humane Society,1620 West Diehl Road,Naperville,60563,(630) 420-8989,,http://www.napervillehumanesociety.org/,https://www.petfinder.com/pet-search?shelterid=IL202,41.794885,-88.16188
Humane Society of Central Illinois Pet Adoption Center,423 Kays Drive,Normal,61761,(309) 451-1000,,http://www.hscipets.org/,https://www.petfinder.com/pet-search?shelter_id=IL101,40.515485,-88.98629
Heartland Animal Shelter,2975 Milwaukee Avenue,Northbrook,60062,(847) 296-6400,,www.heartlandanimalshelter.net,https://www.petfinder.com/pet-search?shelter_id=IL195,42.124576,-87.84303
Richland County Animal Control,4061 East Seven Hills Lane,Olney,62450,(618) 393-7526,,https://www.petfinder.com/pet-search?shelterid=IL190,https://www.petfinder.com/pet-search?shelterid=IL190,38.72456,-88.08658
Fortunate Pooches and Lab Rescue,P.O. Box 1296,Palentine,60078,(773) 318-2239,,www.fortunatelabrescue.org,https://www.petfinder.com/pet-search?shelterid=IL272,41.811929,-87.68732
Lake Shore Animal Shelter,P.O. Box 40,Park Ridge,60068,(312) 409-1162 ,,https://lakeshoreanimalshelter.org/,https://www.petfinder.com/pet-search?shelterid=IL27,42.01183,-87.84158
Foster Pet Outreach,P.O. Box 5084,Peoria,61601,(309) 682-1122,,http://fosterpetoutreach.org/,https://www.petfinder.com/pet-search?shelterid=IL77,40.693137,-89.589847
Peoria County Animal Protection Services/PAWS,2600 NE Perry,Peoria,61603,(309) 672-2440,,http://www.peoriacounty.org/pcaps,https://www.petfinder.com/pet-search?shelterid=IL49,40.712887,-89.57904
Menard County Animal Control,P.O. Box 163,Petersburg,62675,(217) 632-7302,,http://www.menardcountyil.com/animal%20control.htm,,40.008726,-89.85029
Quincy Humane Society,1705  N. 36th St,Quincy,62301,(217) 223-8786,,http://www.quincyhumanesociety.org/,https://www.petfinder.com/pet-search?shelter_id=IL515,39.929597,-91.37415
Quincy K-9 Connection,4526 Columbus Road,Quincy,62305,"(217) 257-1322 
",,http://www.qk9c.org/,,39.96008,-91.302633
Winnebago County Animal Services,4517 North Main Street,Rockford,61103,(815) 319-4100 ,,www.wcasrock.org,https://www.petfinder.com/pet-search?shelter_id=IL229,42.303365,-89.08246
Romeoville Humane Society,P.O. Box 7052,Romeoville,60446,(877) 813-7300,,http://www.romeovillehumanesociety.org/,https://www.petfinder.com/pet-search?shelter_id=IL648,41.64273,-88.09934
Heartland Pet Welfare Inc.,2720 Wacker Rd,Savanna,61074,(815) 990-5780,,http://www.heartlandpetwelfare.com/,"Male Cats: http://www.heartlandpetwelfare.com/male-cats.html
Female Cats: http://www.heartlandpetwelfare.com/female-cats.html",42.099635,-90.12858
Chicagoland Dog Rescue,P.O. Box 68808,Schaumburg,60168,(847) 259-6458,,http://chicagolanddogrescue.org/,https://www.petfinder.com/pet-search?shelter_id=IL188,41.811929,-87.68732
Anderson Animal Shelter,1000 South La Fox Street,South Elgin,60177,(847) 697-2880,,http://www.andersonanimalshelter.org/#,http://www.andersonanimalshelter.org/#,41.99215,-88.30609
Animal Protective League,1001 Taintor Road,Springfield,62702,(217) 544-7387,,www.apl-shelter.org,https://www.petfinder.com/pet-search?shelter_id=IL10,39.819,-89.64379
Forever Home Feline Ranch,P.O. Box 9740,Springfield,62712,(217) 503-9898,,http://www.felineranch.org/index.html#,http://www.felineranch.org/cats.html,39.7592,-89.5778
Illinois Humane,"P.O. Box 512
401 Bryn Mawr",Springfield,62705,(217) 698-3804,,http://www.illinoishumane.org/,https://www.petfinder.com/pet-search?shelter_id=IL323,39.749457,-89.606017
Sangamon County Animal Control Center,2100 Shale Road,Springfield,62703,(217) 535-3065,,http://www.scdph.org/animal-control/,http://www.scdph.org/search-for-pets/,39.7715,-89.63612
Homes for Endangered and Lost Pets (H.E.L.P.),P.O. Box 972,St. Charles,60174,(877) 364-2286,,http://www.helpinganimals.org/,"Cats: https://www.petfinder.com/pet-search?shelter_id=IL25&status=A&animal=Cat&preview=1
Dogs: https://www.petfinder.com/pet-search?shelter_id=IL25&status=A&animal=Dog&preview=1",41.919808,-88.30498
American Brittany Rescue,822 Wild Finger Rd,Sugar Grove,60554,"(847) 940-0977
",(866) BRIT911 ,www.americanbrittanyrescue.org ,https://www.petfinder.com/pet-search?shelter_id=IL260,41.779939,-88.45183
Midwest Greyhound Adoption,P.O. Box 338,Sugar Grove,60554,(630) 466-4022,,http://www.midwestgreyhound.org/,http://www.midwestgreyhound.org/#!current-adoptables/c15p3,41.779939,-88.45183
Champaign County Humane Society,1911 East Main Street,Urbana,61802,(217) 344-7297,,http://www.cuhumane.org/,,40.121648,-88.17649
Triple R Pets,P.O. Box 86,Western Springs,60558,(708) 738-1438,,http://triplerpets.org/,https://www.petfinder.com/pet-search?shelterid=IL384,41.805531,-87.90103
A Caring Place Humane Society,P.O. Box 989,Westmont,60559,(630) 375-7976,,http://www.acaringplacehs.org/index.asp,https://www.petfinder.com/pet-search?animal_type=Dog&shelterid=IL201,41.795358,-87.97778
Greater Chicago Cavalier Rescue,P.O. Box 671,Yorkville,60560,(630) 553-2810,,http://gccavalierrescue.org/,http://gccavalierrescue.org/content/adopt,41.631342,-88.43996
Kendall County Animal Control,802 West John Street,Yorkville,60560,(630) 553-9256,,http://www.co.kendall.il.us/animal-control/,https://www.petfinder.com/pet-search?shelterid=IL111,41.631342,-88.43996
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
